SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILITY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE
2022/2023,3535009,Belmont Elementary,35,Langley                                 ,Public School,20390 40 Ave,Langley                       ,STANDARD,ELEMENTARY,YES,YES,NO,NO,49.0742171,-122.6598
2022/2023,6262013,Belmont Secondary,62,Sooke                                   ,Public School,3041 Langford Lake Rd,Victoria                      ,STANDARD,SECONDARY,YES,YES,NO,NO,48.4424729,-123.52932
2022/2023,7965007,Bench Elementary,79,Cowichan Valley                         ,Public School,1501 Cowichan Bay Rd,Cowichan Bay                  ,STANDARD,ELEMENTARY,YES,NO,NO,NO,48.7262401,-123.60419
2022/2023,3636136,Berkshire Park Elementary,36,Surrey                                  ,Public School,15372 94 Ave,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1729148,-122.79679
2022/2023,3333019,Bernard Elementary,33,Chilliwack                              ,Public School,45465 Bernard Ave,Chilliwack                    ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1643711,-121.96587
2022/2023,6060032,Bert Ambrose,60,Peace River North                       ,Public School,9616 115 Ave,Fort St. John                 ,STANDARD,ELEMENTARY,YES,NO,NO,NO,56.2613987,-120.84139
2022/2023,6060062,Bert Bowes Middle School,60,Peace River North                       ,Public School,9816 106 St,Fort St John                  ,STANDARD,MIDDLE SCHOOL,YES,YES,NO,NO,56.2448509,-120.85869
2022/2023,7324032,Bert Edwards Science & Technology,73,Kamloops-Thompson                       ,Public School,711 Windsor Ave,Kamloops                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,50.7081394,-120.36137
2022/2023,3535058,Betty Gilbert Middle,35,Langley                                 ,Public School,26845 27 Ave,Aldergrove                    ,STANDARD,MIDDLE SCHOOL,YES,YES,YES,NO,49.0517785,-122.48036
2022/2023,3636107,Betty Huff Elementary,36,Surrey                                  ,Public School,13055 Huntley Ave,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1729334,-122.8605
2022/2023,3696602,Bibleway Christian Academy,36,Surrey                                  ,Independent School,18657 60 Ave,Surrey                        ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.1118427,-122.70538
2022/2023,2727020,Big Lake Elementary,27,Cariboo-Chilcotin                       ,Public School,Box 70,Big Lake                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,52.3781054,-121.87761
2022/2023,5151013,Big White Community School,51,Boundary                                ,Public School,PO Box 45086 STN Rutland,Kelowna                       ,STANDARD,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,49.7157872,-118.92228
2022/2023,4343006,Birchland Elementary,43,Coquitlam                               ,Public School,1331 Fraser Ave,Port Coquitlam                ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2692642,-122.75167
2022/2023,2323056,Black Mountain Elementary,23,Central Okanagan                        ,Public School,1650 Gallagher Rd,Kelowna                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.8672889,-119.34987
2022/2023,5757064,Blackburn Elementary,57,Prince George                           ,Public School,2222 South Blackburn Rd,Prince George                 ,STANDARD,ELEMENTARY,YES,NO,NO,NO,53.8976521,-122.64305
2022/2023,3535033,Blacklock Fine Arts Elementary,35,Langley                                 ,Public School,5100 206 St,Langley                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.0959969,-122.65111
2022/2023,4848014,Blackwater Creek Elementary,48,Sea to Sky                              ,Public School,Box 1729 9667 Portage Road,Devine                        ,STANDARD,ELEMENTARY,NO,NO,NO,NO,50.5234791,-122.49609
2022/2023,4343074,Blakeburn Elementary,43,Coquitlam                               ,Public School,1040 Riverside Dr,Port Coquitlam                ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2632567,-122.74145
2022/2023,3996070,Blessed Sacrament School,39,Vancouver                               ,Independent School,3020 Heather St,Vancouver                     ,STANDARD,ELEMENTARY,NO,YES,NO,NO,49.25834,-123.11939
2022/2023,807016,Blewett Elementary School,8,Kootenay Lake                           ,Public School,2665 Blewett Rd,Nelson                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.4920102,-117.36864
2022/2023,3434049,Blue Jay Elementary,34,Abbotsford                              ,Public School,30995 Southern Dr,Abbotsford                    ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.0583458,-122.36621
2022/2023,4242041,Blue Mountain Elementary,42,Maple Ridge-Pitt Meadows                ,Public School,12453 248 St,Maple Ridge                   ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2233848,-122.53586
2022/2023,7326002,Blue River School,73,Kamloops-Thompson                       ,Public School,PO Box 160 3rd Ave,Blue River                    ,STANDARD,ELEMENTARY,YES,NO,NO,NO,52.107141,-119.30628
2022/2023,4444041,Blueridge Elementary,44,North Vancouver                         ,Public School,2650 Bronte Dr,North Vancouver               ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.3243788,-123.00064
2022/2023,3838014,Blundell Elementary,38,Richmond                                ,Public School,6480 Blundell Rd,Richmond                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1546815,-123.15204
2022/2023,4496551,Bodwell High School,44,North Vancouver                         ,Independent School,955 Harbourside Dr,North Vancouver               ,STANDARD,SECONDARY,NO,NO,NO,NO,49.3141561,-123.10116
2022/2023,3636128,Bonaccord Elementary,36,Surrey                                  ,Public School,14986 98 Ave,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1798866,-122.80645
2022/2023,7832004,Boston Bar Elem-Secondary,78,Fraser-Cascade                          ,Public School,PO Box 160,Boston Bar                    ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.8613092,-121.44173
2022/2023,3636173,Bothwell Elementary School,36,Surrey                                  ,Public School,17070 102 Ave,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.187418,-122.74884
2022/2023,2828020,Bouchie Lake Elementary School,28,Quesnel                                 ,Public School,2074 Blackwater Rd,Quesnel                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,53.026784,-122.59548
2022/2023,3796535,Boundary Bay Montessori House,37,Delta                                   ,Independent School,3800 72 St,Delta                         ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.0713393,-123.02229
2022/2023,5113010,Boundary Central Secondary,51,Boundary                                ,Public School,PO Box 159,Midway                        ,STANDARD,SECONDARY,YES,NO,NO,NO,49.006601,-118.76861
2022/2023,4444043,Boundary Elementary,44,North Vancouver                         ,Public School,750 26th St E,North Vancouver               ,STANDARD,ELEMENTARY,YES,NO,YES,NO,49.3336589,-123.05254
2022/2023,3636144,Boundary Park Elementary,36,Surrey                                  ,Public School,12332 North Boundary Dr,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1168347,-122.88093
2022/2023,4545019,Bowen Island Community School,45,West Vancouver                          ,Public School,PO Box 220,Bowen Island                  ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.381362,-123.34205
2022/2023,6969015,Bowser Elementary,69,Qualicum                                ,Public School,PO Box 112,Bowser                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.4461241,-124.69903
2022/2023,4848023,Brackendale Elementary,48,Sea to Sky                              ,Public School,PO Box 280,Brackendale                   ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.7706716,-123.1518
2022/2023,3434011,Bradner Elementary,34,Abbotsford                              ,Public School,5291 Bradner Rd,Abbotsford                    ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.098192,-122.42728
2022/2023,6161051,Braefoot Elementary,61,Greater Victoria                        ,Public School,1440 Harrop Road,Victoria                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,48.4696685,-123.34463
2022/2023,4444024,Braemar Elementary,44,North Vancouver                         ,Public School,3600 Mahon Ave,North Vancouver               ,STANDARD,ELEMENTARY,YES,YES,YES,NO,49.3426623,-123.07915
2022/2023,4343009,Bramblewood Elementary,43,Coquitlam                               ,Public School,2875 Panorama Dr,Coquitlam                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2981166,-122.81283
2022/2023,4141017,Brantford Elementary,41,Burnaby                                 ,Public School,6512 Brantford Ave,Burnaby                       ,STANDARD,ELEMENTARY,YES,YES,NO,NO,49.2245748,-122.96661
2022/2023,6868019,Brechin Elementary,68,Nanaimo-Ladysmith                       ,Public School,510 Millstone Ave,Nanaimo                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1777478,-123.95429
2022/2023,807033,Brent Kennedy Elementary,8,Kootenay Lake                           ,Public School,PO Box 40,Crescent Valley               ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.4426398,-117.54532
2022/2023,7996005,Brentwood College,79,Cowichan Valley                         ,Independent School,2735 Mt Baker Rd,Mill Bay                      ,STANDARD,SECONDARY,NO,NO,NO,NO,48.6525,-123.55529
2022/2023,6363002,Brentwood Elementary,63,Saanich                                 ,Public School,7085 Wallace Drive,Brentwood Bay                 ,STANDARD,ELEMENTARY,YES,NO,NO,NO,48.5742041,-123.44675
2022/2023,4141018,Brentwood Park Elementary,41,Burnaby                                 ,Public School,1455 Delta Ave,Burnaby                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2709096,-122.99411
2022/2023,3636033,Bridgeview Elementary,36,Surrey                                  ,Public School,12834 115A Ave,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2112522,-122.86473
2022/2023,3939130,Britannia Community Elementary,39,Vancouver                               ,Public School,1110 Cotton Dr,Vancouver                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2746196,-123.07101
2022/2023,3939004,Britannia Community Secondary,39,Vancouver                               ,Public School,1001 Cotton Dr,Vancouver                     ,STANDARD,SECONDARY,YES,NO,NO,NO,49.2752895,-123.07118
2022/2023,4396579,British Columbia Christian Academy,43,Coquitlam                               ,Independent School,1019 Fernwood Ave,Port Coquitlam                ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.2804775,-122.74356
2022/2023,7373081,Brocklehurst Middle School,73,Kamloops-Thompson                       ,Public School,985 Windbreak St,Kamloops                      ,STANDARD,MIDDLE SCHOOL,YES,NO,NO,NO,50.7048968,-120.40122
2022/2023,4496739,Brockton Preparatory School,44,North Vancouver                         ,Independent School,3467 Duval Rd,North Vancouver               ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.3408787,-123.02368
2022/2023,3737029,Brooke Elementary,37,Delta                                   ,Public School,8718 Delwood Dr,Delta                         ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1625982,-122.92458
2022/2023,6296945,Brookes Westshore,62,Sooke                                   ,Independent School,1939 Sooke Rd,Victoria                      ,STANDARD,ELEMENTARY SECONDARY,NO,NO,NO,NO,48.4401401,-123.47421
2022/2023,7171063,Brooklyn Elementary,71,Comox Valley                            ,Public School,1290 Guthrie Rd,Comox                         ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.6869996,-124.9048
2022/2023,4747021,Brooks Secondary,47,Powell River                            ,Public School,5400 Marine Ave,Powell River                  ,STANDARD,SECONDARY,YES,YES,NO,NO,49.8625818,-124.54251
2022/2023,4444037,Brooksbank Elementary,44,North Vancouver                         ,Public School,980 13th St E,North Vancouver               ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.3202384,-123.04623
2022/2023,3636146,Brookside Elementary,36,Surrey                                  ,Public School,8555 142A St,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1582153,-122.82848
2022/2023,3535036,Brookswood Secondary,35,Langley                                 ,Public School,20902 37A Ave,Langley                       ,STANDARD,SECONDARY,YES,YES,NO,NO,49.0698504,-122.64436
2022/2023,5757007,Buckhorn Elementary,57,Prince George                           ,Public School,5190 Buckhorn Lake Rd,Prince George                 ,STANDARD,ELEMENTARY,YES,NO,NO,NO,53.7939767,-122.65246
2022/2023,4141019,Buckingham Elementary,41,Burnaby                                 ,Public School,6066 Buckingham Ave,Burnaby                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2330206,-122.95521
2022/2023,6060040,Buick Creek Elementary,60,Peace River North                       ,Public School,PO Box 3060,Buick                         ,STANDARD,NO ENROLMENT REPORTED,NO,NO,NO,NO,56.7596171,-121.27407
2022/2023,5496782,Bulkley Valley Christian Online School,54,Bulkley Valley                          ,Independent School,PO Box 3635,Smithers                      ,DISTRICT DISTANCE ED,ELEMENTARY SECONDARY,YES,NO,NO,NO,54.7777249,-127.15544
2022/2023,5496124,Bulkley Valley Christian School,54,Bulkley Valley                          ,Independent School,PO Box 3635,Smithers                      ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,54.7777249,-127.15544
2022/2023,5499163,Bulkley Valley Education Connection,54,Bulkley Valley                          ,Public School,PO Box 758,Smithers                      ,DISTRICT DISTANCE ED,ELEMENTARY SECONDARY,YES,NO,NO,NO,54.7893186,-127.18166
2022/2023,5499182,Bulkley Valley Learning Centre,54,Bulkley Valley                          ,Public School,PO Box 849,Smithers                      ,ALTERNATE,SECONDARY,NO,NO,NO,NO,54.7826694,-127.1734
2022/2023,4141001,Burnaby Central Secondary,41,Burnaby                                 ,Public School,6011 Deer Lake Parkway,Burnaby                       ,STANDARD,SECONDARY,YES,NO,NO,NO,49.2432803,-122.97538
2022/2023,4141000,Burnaby Continuing Education,41,Burnaby                                 ,Public School,751 Hammarskjold Dr,Burnaby                       ,CONTINUING ED,SECONDARY,NO,NO,NO,NO,49.2488564,-122.98698
2022/2023,4196636,Burnaby Montessori School,41,Burnaby                                 ,Independent School,5489 Kingsway,Burnaby                       ,STANDARD,ELEMENTARY,NO,NO,NO,NO,49.2491691,-122.97552
2022/2023,4141063,Burnaby Mountain Secondary,41,Burnaby                                 ,Public School,8800 Eastlake Dr,Burnaby                       ,STANDARD,SECONDARY,YES,NO,NO,NO,49.2550311,-122.91139
2022/2023,4141002,Burnaby North Secondary,41,Burnaby                                 ,Public School,751 Hammarskjold Dr,Burnaby                       ,STANDARD,SECONDARY,YES,NO,NO,NO,49.2779269,-122.97361
2022/2023,4199145,Burnaby Online Program,41,Burnaby                                 ,Public School,8580 16th Ave,Burnaby                       ,DISTRICT DISTANCE ED,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.2322351,-122.91476
2022/2023,4141062,Burnaby South Secondary,41,Burnaby                                 ,Public School,5455 Rumble St,Burnaby                       ,STANDARD,SECONDARY,YES,YES,NO,NO,49.2158984,-122.98532
2022/2023,4199301,Burnaby Youth HUB Secondary Program,41,Burnaby                                 ,Public School,4750 Imperial St,Burnaby                       ,ALTERNATE,SECONDARY,NO,NO,NO,NO,49.2218881,-122.99666
2022/2023,3737034,Burnsview Secondary,37,Delta                                   ,Public School,7658 112 St,Delta                         ,STANDARD,SECONDARY,YES,YES,NO,NO,49.1417963,-122.91167
2022/2023,1010002,Burton Elementary,10,Arrow Lakes                             ,Public School,PO Box 3,Burton                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.9928548,-117.87588
