SCHOOL_EDUCATION_LEVEL,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILITY_TYPE,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE
ELEMENTARY,2022/2023,3939060,David Livingstone Elementary,39,Vancouver                               ,Public School,315 23rd Ave E,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2506365,-123.09813
ELEMENTARY,2022/2023,3939035,David Lloyd George Elementary,39,Vancouver                               ,Public School,8370 Cartier St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2102332,-123.13674
ELEMENTARY,2022/2023,3939090,David Oppenheimer Elementary,39,Vancouver                               ,Public School,2421 Scarboro Ave,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2135456,-123.05817
SECONDARY,2022/2023,3939018,David Thompson Secondary,39,Vancouver                               ,Public School,1755 55th Ave E,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2208643,-123.07055
ELEMENTARY,2022/2023,3939095,Dr A R Lord Elementary,39,Vancouver                               ,Public School,555 Lillooet St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.279674,-123.0394
ELEMENTARY,2022/2023,3939104,Dr Annie B Jamieson Elementary,39,Vancouver                               ,Public School,6350 Tisdall Street,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2273837,-123.12096
ELEMENTARY,2022/2023,3939105,Dr George M Weir Elementary,39,Vancouver                               ,Public School,2900 44th Ave E,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2298812,-123.04489
ELEMENTARY,2022/2023,3939115,Dr H N MacCorkindale Elementary,39,Vancouver                               ,Public School,6100 Battison St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2278819,-123.0294
ELEMENTARY,2022/2023,3939097,Dr R E McKechnie Elementary,39,Vancouver                               ,Public School,7455 Maple St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2175728,-123.15296
ELEMENTARY SECONDARY,2022/2023,3996764,Eaton Arrowsmith School (Vancouver) Ltd,39,Vancouver                               ,Independent School,213-2150 Western Parkway,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2658743,-123.2434
ELEMENTARY,2022/2023,3939132,Ecole Jules Quesnel Elementary,39,Vancouver                               ,Public School,3050 Crown St,Vancouver                     ,STANDARD,NO,YES,NO,NO,49.2595121,-123.19332
ELEMENTARY,2022/2023,3939071,Edith Cavell Elementary,39,Vancouver                               ,Public School,500 20th Ave W,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2528816,-123.11714
ELEMENTARY,2022/2023,3939140,Elsie Roy Elementary,39,Vancouver                               ,Public School,150 Drake St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2721415,-123.12262
ELEMENTARY,2022/2023,3939044,Emily Carr Elementary,39,Vancouver                               ,Public School,4070 Oak St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2499718,-123.12643
SECONDARY,2022/2023,3939022,Eric Hamber Secondary,39,Vancouver                               ,Public School,5025 Willow St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2398444,-123.12474
ELEMENTARY,2022/2023,3939136,False Creek Elementary,39,Vancouver                               ,Public School,900 School Green,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2671066,-123.12668
ELEMENTARY,2022/2023,3996390,Family Montessori School,39,Vancouver                               ,Independent School,1099 Sitka Sq,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2675623,-123.19902
ELEMENTARY,2022/2023,3939051,Florence Nightingale Elementary,39,Vancouver                               ,Public School,2740 Guelph St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2602245,-123.09442
SECONDARY,2022/2023,3996958,Franklin School,39,Vancouver                               ,Independent School,530 Hornby St - 2nd Floor,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2853354,-123.11715
ELEMENTARY SECONDARY,2022/2023,3996332,Fraser Academy,39,Vancouver                               ,Independent School,2294 10th Ave W,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.262784,-123.15713
ELEMENTARY,2022/2023,3939100,G T Cunningham Elementary,39,Vancouver                               ,Public School,2330 37th Ave E,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2368384,-123.05742
NO ENROLMENT REPORTED,2022/2023,3939121,Garibaldi Annex,39,Vancouver                               ,Public School,1025 Slocan St,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2755317,-123.04971
